6.528404 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:12
6.528412 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 12 not found 
6.528416 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:12
6.528419 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 12 not found 
6.528427 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:12
6.528431 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 13 not found 
6.528439 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:13
6.528442 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 13 not found 
6.528450 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:13
6.528454 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 13 not found 
6.528458 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:13
6.528465 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 14 not found 
6.528469 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:14
6.528477 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 14 not found 
6.528481 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:14
6.528484 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 14 not found 
6.528488 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:14
6.528549 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 15 not found 
6.528553 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:15
6.528561 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 15 not found 
6.528568 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:15
6.528572 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 15 not found 
6.528576 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:15
6.528584 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 16 not found 
6.528587 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:16
6.528595 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 16 not found 
6.528599 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:16
6.528606 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 16 not found 
6.528610 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:16
6.528618 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 17 not found 
6.528622 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:17
6.528625 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 17 not found 
6.528633 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:17
6.528637 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 17 not found 
6.528641 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:17
6.528648 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 18 not found 
6.528652 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:18
6.528660 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 18 not found 
6.528664 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:18
6.528667 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 18 not found 
6.528675 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:18
6.528679 [mod=WIFI, lvl=ERROR] [tid=817]  getVapInfo Input apIndex = 19 not found 
6.528683 [mod=WIFI, lvl=ERROR] [tid=817]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:19
