6.347408 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:8
6.347420 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 8 not found 
6.347424 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:8
6.347427 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 8 not found 
6.347431 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:8
6.347439 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 9 not found 
6.347443 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:9
6.347454 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 9 not found 
6.347458 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:9
6.347462 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 9 not found 
6.347469 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:9
6.347473 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 10 not found 
6.347477 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:10
6.347488 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 10 not found 
6.347492 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:10
6.347500 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 10 not found 
6.347504 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:10
6.347511 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 11 not found 
6.347515 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:11
6.347527 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 11 not found 
6.347530 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:11
6.347534 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 11 not found 
6.347538 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:11
6.347549 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 12 not found 
6.347553 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:12
6.347561 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 12 not found 
6.347569 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:12
6.347572 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 12 not found 
6.347576 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:12
6.347584 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 13 not found 
6.347588 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:13
6.347595 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 13 not found 
6.347603 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:13
6.347607 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 13 not found 
6.347610 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:13
6.347618 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 14 not found 
6.347622 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:14
6.347630 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 14 not found 
6.347637 [mod=WIFI, lvl=ERROR] [tid=695]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:14
6.347641 [mod=WIFI, lvl=ERROR] [tid=695]  getVapInfo Input apIndex = 14 not found 
