6.360924 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:17
6.360928 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 18 not found 
6.360935 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:18
6.360943 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 18 not found 
6.360947 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:18
6.360950 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 18 not found 
6.360954 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:18
6.360962 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 19 not found 
6.360966 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:19
6.360973 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 19 not found 
6.360977 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:19
6.360985 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 19 not found 
6.360989 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:19
6.360992 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 20 not found 
6.361000 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:20
6.361004 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 20 not found 
6.361012 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:20
6.361015 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 20 not found 
6.361019 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:20
6.361027 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 21 not found 
6.361031 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:21
6.361038 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 21 not found 
6.361042 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:21
6.361046 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 21 not found 
6.361050 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:21
6.361057 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 22 not found 
6.361061 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:22
6.361069 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 22 not found 
6.361073 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:22
6.361080 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 22 not found 
6.361084 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:22
6.361092 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 23 not found 
6.361095 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetCfg Unable to get VAP info for wlanIndex:23
6.361103 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 23 not found 
6.361107 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetDinfo Unable to get VAP info for wlanIndex:23
6.361111 [mod=WIFI, lvl=ERROR] [tid=733]  getVapInfo Input apIndex = 23 not found 
6.361118 [mod=WIFI, lvl=ERROR] [tid=733]  CosaDmlWiFiSsidGetSinfo Unable to get VAP info for wlanIndex:23
6.361141 [mod=WIFI, lvl=ERROR] [tid=733] WIFI rdkGetIndexFromName : pIfaceName :  is not found
6.361145 [mod=WIFI, lvl=ERROR] [tid=733] WIFI CosaDmlWiFiApGetCfg : Couldn't find wlanIndex from IfName 
6.361160 [mod=WIFI, lvl=INFO] [tid=733] rbuscore.c:2340 RBus Enabled

